,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
434,마이랜드,6
435,마장호수,1
436,마장호수출렁다리,1
437,마켓가든,7
438,마포 걷고싶은길 4코스,7
439,만석공원,1
440,만석공원 만석거,1
441,만수천공원,7
442,만해한용운심우장,7
443,맛고을 장단콩두부마을,7
444,망원정 터,2
445,망원한강공원,1
446,매봉,7
447,매봉산,1
448,매향교,2
449,머더파커 건대2호점,6
450,메밀촌 두부마을,7
451,메트로폴리탄수영장,6
452,명륜당,2
453,명성산,1
454,명성산억새밭,1
455,명성황후생가,2
456,명지계곡,1
457,모리스가든,13
458,목동종합운동장 목동아이스링크,6
459,목향원,7
460,몬스터리움,13
461,몽마르뜨공원,1
462,몽촌토성나들길,7
463,묘문사,2
464,무궁화공원묘원 가람추모관,2
465,무궁화동산,6
466,무무대전망대,1
467,무즐라,13
468,무지개서는마을,7
469,무한상상시민정원,7
470,무호정,13
471,문경새재도립공원,1
472,문경오미자테마공원,6
473,문경오픈세트장,2
474,문래근린공원,1
475,문원어린이공원,1
476,문호종묘,2
477,문화공원,1
478,문화역서울284,2
479,물안개공원,1
480,물왕호수,1
481,물의정원,1
482,물향기수목원,1
483,뮤고양이카페,13
484,미니스톱 한강아라호점,7
485,미리내성지,2
486,미리내힐빙클럽,13
487,미사경정공원,1
488,미사경정공원 조정카누경기장,5
489,미사누리공원 1호,1
490,미사리경정공원,1
491,미사리경정공원 경정장,6
492,미사리경정장,5
493,미사리조정경기장 정문,5
494,미사리조정경기장체육여가공원,5
495,미사호수공원,1
496,미추홀공원,1
497,미호박물관,2
498,밑미흠 시간을파는상점,13
499,바다향기수목원,1
500,바라산,1
501,바라산 숲길 전망대,7
502,바람새마을,7
503,바른식생활교육체험관,13
504,바운스슈퍼파크 수원영통센터,6
505,바운스트램폴린파크 삼성센터,6
506,바이크토탈 팔당점,5
507,박물관은살아있다 인사동점,2
508,박완서 작가가 살던집,2
509,반얀트리클럽&스파서울,6
510,반포 한강공원,1
511,반포대교,2
512,반포천교,7
513,반포한강공원,1
514,반포한강공원 달빛광장,1
515,발트바우,6
516,밝은광장 인증센터,13
517,밤가시공원,1
518,밤섬유원지,1
519,밥할머니공원,1
520,방아머리해수욕장,1
521,방탈출버스티드,13
522,방화수류정,2
523,배곧생명공원,1
524,배다리공원,1
525,배다리생태공원,1
526,배다리성냥마을박물관,2
527,배다리역사문화마을,7
528,배다리저수지,7
529,배론성지,2
530,배상면주가 포천점,13
531,배오개다리 진출입 계단 14번,1
532,백두대간,1
533,백범광장,1
534,백운계곡,13
535,백운계곡관광지,1
536,백운산,1
537,백운호수,7
538,벌말근린공원,1
539,벌이랑꿀이랑,13
540,벗고개,1
541,베이커리 씨어터 수목원,1
542,벼락소유원지,1
543,벽초지수목원,1
544,벽초지수목원 빈센조 촬영장,2
545,별빛정원 우주,6
546,병목안시민공원,1
547,보광사,2
548,보라매공원,1
549,보신각터,2
550,보야지투자라섬,8
551,보통저수지,7
552,복골캠프,7
553,볼더프렌즈 클라이밍,5
554,볼원볼링센터,5
555,볼원볼링장,5
556,봇들저류지공원,1
557,봉국사,2
558,봉녕사,2
559,봉림원,7
560,봉선사,2
561,봉선사 일주문,2
562,봉선사동종,2
563,봉은사,1
564,봉은사로 가로수길,1
565,봉황각,2
566,부락산,1
567,부천무릉도원수목원,1
568,부천식물원,6
569,부천역북부광장,8
570,부천자연생태공원,1
571,부천중앙공원,1
572,부천호수식물원 수피아,6
